Tag,Content
SurpriseAttack,"(Te ataca sin previo aviso,  te obliga|a inclinarte sobre el pupitre y te levanta la falda.)"
BallGag,(Le pones la bola en la boca y cierras las|correas mientras ella protesta.)
UnlockWarning,(¿Seguro que quieres liberarle?|Haz click por segunda vez para confirmarlo.)
Unlock,"(Después de soltarler, te sujeta|y te atrapa.) TE has salvado jovencita."
Rope,"(Le rodeas de cuerdas por todo el cuerpo haciendo|nudos apretados.  Cuando terminas, le quitas las esposas.)"
Cuffs,(Le esposas de nuevos y deshaces los nudos|mientras ntenta pegarte sin éxito.)
Disturb1,"(Te mira brevemente.)Jovencita,|Tranquila mientras enseño, hablaremos después de clase."
Disturb2,(Parece enfadada contigo.) ¡Señorita!|¡Vas a dejar de molestar ahora mismo!
Disturb3,(Parece furiosa.) ¡Último aviso!|La próxima vez que me molestes te ataré.
Disturb4,"(Te atrapa y te levanta la falda.)|Jovencita,hoy vas a parender una lección de disciplina."
SubdueAlone,"(Sola, no puedes someterle y te atrapa.)|Jovencita,hoy vas a parender una lección de disciplina.."
SubdueSidney,"(Sidney y tu no podeis someterle y te atrapa.)|Jovencita,hoy vas a parender una lección de disciplina."
SubdueAmanda,"(Amanda y tu no podeis someterle y te atrapa.)|Jovencita,hoy vas a parender una lección de disciplina."
SubdueSarah,"(Sarah y tu no podeis someterle y te atrapa.)|Jovencita,hoy vas a parender una lección de disciplina."
SubdueSuccess,"(Gracias a tus ayudantes, desnudais a Mildred.|encontrais una esposas entre sus cosas y las usais.)"
